game_id,white_name,black_name,winner,white_elo,black_elo,opening
25,Akilan0208,Antonio_Oswaldo_de_S,2,1896,1981,English Opening: Anglo-Indian Defense
26,Tigran1776,guoguo123,2,1312,1355,Ruy Lopez: Exchange Variation
27,Issax7,AzatAbdykali,1,1014,1161,Scotch Game
28,Braintrain23,snmy,2,1500,1632,Englund Gambit Declined: Reversed French
29,Sudhamay_Titanium,iceteakavun,0,1253,1436,Van Geet Opening
30,Maltsev01,Buysmahnen,2,903,1000,Zukertort Opening: Lemberger Gambit
31,JefreyF,Howard1941,1,1206,1251,Nimzo-Larsen Attack: Modern Variation
32,krisAgrawal,nemy2030,1,1312,1330,Petrov's Defense: Three Knights Game
33,Manuel_Lizarazu92,Lobisnumerobis,1,1539,1500,Bishop's Opening
34,DobzieDobzie,Basti-Ha81,1,1233,1245,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation"
35,Rudolf29,Vihaannarisetty,1,1623,1675,Scandinavian Defense: Main Line
36,admbanbn,Elbarit,1,1853,1880,"English Opening: King's English Variation, Four Knights Variation, Quiet Line"
37,BearBHB,suchi68,2,1571,1578,Queen's Pawn Game
38,zaika256,qRIUSp,0,913,1008,Four Knights Game: Italian Variation
39,alexander7834,Jovem36,0,1738,1645,Center Game: Paulsen Attack Variation
40,CatSuey10,Jacob102,1,1339,1222,Amazon Attack
41,kylejosephjones,bersekbrazuca,0,1429,1348,Scandinavian Defense
42,sistemeduar,can153,1,1146,1216,Sicilian Defense
43,ToXonautic,lolzerzballzerz,1,1064,990,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
44,LeafeonChess,staufenberger,2,1500,1476,Bird Opening
45,claudiri,OskrSerrano27,2,1440,1442,Caro-Kann Defense: Accelerated Panov Attack
46,Ragil5,rt128,1,1561,1567,King's Pawn Game: Leonardis Variation
47,yaman123,Wallter139,1,1869,1923,Queen's Pawn Game: Krause Variation
48,karenMelisaCoal,leaderdesslok79,1,1586,1617,Zukertort Opening: Queen's Gambit Invitation
49,Eckat0100,Ahlebueggel,2,1565,1497,Italian Game: Anti-Fried Liver Defense
50,Massimoff,Dotking212,1,1530,1532,St. George Defense
51,F-MARQUES-2005,PriciessWars,2,1531,1465,Scandinavian Defense: Valencian Variation
52,Surgood,Giordano2004,1,2267,2123,Scotch Game: Potter Variation
53,cesarmelnichukSv,Erwan31,2,1672,1642,Scotch Game
54,mariorobaglio,Dens368,1,1526,1560,Zukertort Opening: Slav Invitation
55,moxiktoxic,Zaby75,2,1241,1323,Queen's Gambit Declined: Marshall Defense
56,Hossam2155,PleaseHelpMeToMate,1,1871,1903,"Ruy Lopez: Schliemann Defense, Tartakower Variation"
57,suchi68,balaji2015,1,1597,1519,Scotch Game: Lolli Variation
58,Antoniods1959,ateyoqueen,1,1521,1537,Center Game
59,Svilupa,UlsterJohn,1,1374,1358,Pirc Defense
60,danboardman94,Funkmaster147,2,1500,1476,Bird Opening: Dutch Variation
61,Dafco5,klykov777,1,1664,1574,English Opening: The Whale
62,latermedal,Dogwoodfish,1,2083,2025,"English Opening: King's English Variation, Two Knights Variation, Smyslov System"
63,Sajiz,IlyasSandal,0,1512,1531,Queen's Gambit Declined: Tarrasch Defense
64,anton_syrtsev,jairyl,1,1634,1500,Philidor Defense
65,Rudolf29,ElvisGT,1,1629,1526,Pirc Defense
66,Vihaannarisetty,brunojfra,2,1642,1686,Indian Defense: West Indian Defense
67,Davidfakile,ik_ei,1,1381,1417,Saragossa Opening
68,efsunyesim,Daniel12314,2,1552,1521,Queen's Pawn Game: Chigorin Variation
69,Bogatov1935,babab123,1,1898,1901,Caro-Kann Defense
70,Alexandr1955,arivuraja,1,1477,1521,Caro-Kann Defense
71,petot_russia,andresduran67,2,1776,1848,King's Indian Defense: Normal Variation
72,herisson07,Kifsif,1,1652,1610,Queen's Pawn Game: Zukertort Variation
73,MATATFROMMIS,RYO12622,1,1500,1500,Three Knights Opening: Winawer Defense
74,DIPESH02,Benjamin_3943,1,1783,1854,Scandinavian Defense
75,BarryBigPotataz,CALBH,1,1607,1653,Trompowsky Attack: Edge Variation
76,Sharkweek52709,DadofDads,1,1419,1389,Vienna Game: Vienna Gambit
77,STCLion,Sidonio,2,1798,1792,Queen's Pawn Game: Zukertort Variation
78,franmillan,Goe68,0,1252,1186,Petrov's Defense
79,OskrSerrano27,dario2524,2,1448,1466,Pirc Defense
80,Ndechamps,Sopizzas,2,1316,1304,Hungarian Opening
81,andrelae,Ilintxa3259,2,1554,1576,Queen's Pawn Game: Accelerated London System
82,viddavidda,geokontog,2,1709,1769,Ponziani Opening: Jaenisch Counterattack
83,Jordan1968,thesinger43,0,1927,2047,"Sicilian Defense: O'Kelly Variation, Venice System"
84,Maged_m_zaky,arlenlonghorns,2,1602,1689,Caro-Kann Defense
85,Spain85,felix_mtl,2,1853,1935,English Defense
86,Truman68,claudiri,1,1380,1434,Sicilian Defense: Smith-Morra Gambit
87,Tsogoo71,rahjones,2,1782,1734,Sicilian Defense: Modern Variations
88,BearBHB,hesteren,2,1555,1551,Three Knights Opening
89,ezezezzzzzzzz52,laur92,2,1714,1549,Bird Opening
90,balaji2015,Hectorestuvoaqui,2,1511,1421,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
91,erikmorales2024,Sturpidly,1,1519,1467,Van't Kruijs Opening
92,MrAGKB,JiuJitsuPadiwan,1,2010,1947,French Defense: Exchange Variation
93,Dogwoodfish,latermedal,2,2020,2089,"Ruy Lopez: Closed, Breyer Defense, Zaitsev Hybrid"
94,arimorrison,Svp41-45,1,1928,1825,Pirc Defense
95,Vaquangnam47,sistemeduar,2,1132,1150,Scandinavian Defense: Modern Variation
96,Sopizzas,adi_224,1,1310,1261,Van't Kruijs Opening
97,Andreas1986,ausen_ramos,0,1816,1876,Sicilian Defense: Closed
98,Dens368,jefsyl,1,1554,1442,Queen's Pawn Game: Chigorin Variation
99,V_Plamnya,Tommy7373,1,2022,1906,Queen's Gambit Declined
100,maybe13,incik1352,1,1546,1616,"Vienna Game: Stanley Variation, Reversed Spanish"
101,RodrigoTakeN,tbritt,2,1370,1339,French Defense: Exchange Variation
102,NagarAndrey,konsumatoro,1,1585,1513,Philidor Defense
103,elotrogandre,Wilkeyyy,2,1979,1926,Catalan Opening
104,Samvitreddy,bowenchessgod,1,1712,1757,Modern Defense: Bishop Attack
105,UlsterJohn,K1NGCOLTON,2,1352,1278,Englund Gambit
106,worozco,Svilupa,2,1299,1380,Italian Game: Giuoco Piano
107,Sri_87,Caio-Crestani,1,857,707,Caro-Kann Defense
108,Bole_Debeljko,Craftytype118,1,1517,1602,English Opening: The Whale
109,aamir69,billybutsky,2,1828,1870,Indian Defense
110,Hobbychessli,cheetah6996,1,1628,1529,Pirc Defense
111,h_ermann,THEROCK8926,1,1323,1323,English Opening: Anglo-Scandinavian Defense
112,tbritt,AfterYouMrDurden,1,1346,1404,Englund Gambit Declined: Reversed French
113,Obaqo,grindgrindgrind99,2,1762,1766,Italian Game: Classical Variation
114,Abornjustice50,chewza,1,1375,1290,Hungarian Opening
115,Jjeijdjeiwkkdkwmsmwm,Dotking212,1,1485,1526,St. George Defense
116,Elnadaquever,Dens368,2,1576,1554,Caro-Kann Defense: Advance Variation
117,UlsterJohn,unrizen,2,1345,1316,Queen's Pawn Game: Accelerated London System
118,SeanIrons,Voldemollis,1,1102,1530,Blackmar-Diemer Gambit
119,Number1PowerHouse,Massimoff,1,1890,1536,King's Pawn Game: McConnell Defense
120,cavang,MacVinci,2,1127,1108,French Defense: Advance Variation
121,DanilaSychev,inkas59,1,1734,1699,"Sicilian Defense: Wing Gambit, Carlsbad Variation"
122,m7606319e,mariorobaglio,1,1500,1572,Queen's Pawn Game: Zukertort Variation
123,samcammillare,K1NGCOLTON,2,1296,1285,Four Knights Game
124,gigimark76,Davidfakile,2,1375,1387,Barnes Defense
125,Tamayo884,greedandfear,1,1995,1911,Sicilian Defense: Smith-Morra Gambit Accepted
126,mequias,nrv773,2,1651,1697,Hungarian Opening
127,candelabril,ezezezzzzzzzz52,2,1667,1714,Sicilian Defense: Closed
128,Bigsophie,TopQG008,2,1466,1500,King's Pawn Game: Wayward Queen Attack
129,Bumpy_Johnson0,volzskanin1971,2,1888,1788,Four Knights Game: Italian Variation
130,DobzieDobzie,Doit2def,2,1239,1257,Bishop's Opening: Calabrese Countergambit
131,ParteetSingh,maia1,2,911,1502,King's Pawn Game: Wayward Queen Attack
132,Fatsothewombat,ddjjcchheessss,2,1732,1529,Caro-Kann Defense: Euwe Attack
133,etnella,Iris9,0,1544,1601,Queen's Pawn Game: London System
134,Sri_87,bettyspagetti,1,931,960,Mieses Opening
135,Sam-bbCHA,anhchangngoc,2,1494,1500,Italian Game: Paris Defense
136,chkgfgh,Jordanstoilkovski,0,1884,1937,Indian Defense: Wade-Tartakower Defense
137,stevane,ALFET_boss,1,1797,1647,Indian Defense: Normal Variation
138,club14_dd,llamapope,1,1666,1735,Scandinavian Defense
139,Serdikk,Daniel12314,2,1519,1632,"Italian Game: Classical Variation, Giuoco Pianissimo, with h6"
140,Niko141710,chava4dh,1,1231,1104,Queen's Gambit
141,guenguen70,Kerpeten27,2,1333,1302,Queen's Pawn Game: Accelerated London System
142,KawaiiKame0,BigEddy,2,1470,1557,Zukertort Opening: Kingside Fianchetto
143,mgarcia2,thomsonthomas,1,1359,1297,"Italian Game: Giuoco Pianissimo, Normal"
144,CRISTHINAmendoza,reallybadatstrats,2,1188,986,Queen's Pawn Game: Zukertort Variation
145,Basti-Ha81,slawo81,1,1238,1215,Petrov's Defense: Three Knights Game
146,toparin29,Alexandr1955,1,1444,1484,Ruy Lopez: Cozio Defense
147,mrfrank80,bxprat,2,1470,1500,Sicilian Defense: Staunton-Cochrane Variation
148,AzatAbdykali,Issax7,2,1154,1146,Four Knights Game
149,mrblackpawn,ChessplayerArtem,1,1719,1681,Bishop's Opening
150,brunojfra,CrazyPurpleDucky,1,1695,1771,English Opening: The Whale
151,bancaelectronica,Marci1337,1,1546,1579,King's Gambit Declined: Falkbeer Countergambit
152,Boatman333,NVBG,2,1542,1583,Van't Kruijs Opening
153,Erwan31,cesarmelnichukSv,2,1648,1666,"Italian Game: Classical Variation, Albin Gambit"
154,ezezezzzzzzzz52,SAMBA25000,1,1714,1695,Queen's Pawn Game
155,Elbarit,AliMujahid,2,1847,1665,Scandinavian Defense: Lasker Variation
156,C852s19U24,moxiktoxic,0,1204,1232,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense"
157,JB006,ChessyKid2024,2,1082,1198,Queen's Pawn Game: Chigorin Variation
158,Weiawaga,OpeningsBot,2,2609,2381,Philidor Defense: Lion Variation
159,george65,PetrusPaulus,0,1646,1506,Sicilian Defense: Najdorf Variation
160,Thekingkasi17296174,didgori_1121,2,1500,1258,"Four Knights Game: Spanish Variation, Ranken Variation"
161,incik1352,Pautinych,2,1609,1663,"Caro-Kann Defense: Advance Variation, Short Variation"
162,SonnyCreatives,Maxim3814,1,1563,1556,King's Pawn Game: Alapin Opening
163,DestroyMert,IsrAleX66,2,1500,1561,Pirc Defense: Roscher Gambit
164,admbanbn,ezezezzzzzzzz52,1,1871,1714,Queen's Pawn Game: Zukertort Variation
165,mjjwcr,agwawg211,2,1500,1500,"Ruy Lopez: Closed, Chigorin Defense"
166,ChessplayerArtem,mrblackpawn,1,1675,1724,King's Gambit Accepted: King's Knight's Gambit
167,ifssocorro,agro123,1,1573,1554,Queen's Gambit Declined: Queen's Knight Variation
168,adipijat,Shark1953,2,1827,1809,Horwitz Defense
169,baaba1969,Dr_Lenk,1,1966,2122,Elephant Gambit
170,Basti-Ha81,Gently_Weep,1,1244,1282,Caro-Kann Defense
171,ryan158,UlsterJohn,1,1373,1339,Pirc Defense
172,unrizen,gpvd,2,1322,1318,Four Knights Game: Italian Variation
173,rabbit_bite,tbritt,2,1376,1352,French Defense: Exchange Variation
174,coolchesscat1,ilonlion,2,1750,1700,English Opening: Anglo-Lithuanian Variation
175,pchel_san,HaiyexfersonAjedrez,2,1576,1615,Scandinavian Defense: Mieses-Kotroc Variation
176,Dark-Bisnounours-73,jaehyeop,1,1500,1160,Englund Gambit: Main Line
177,nrv773,tocratrined,0,1700,1697,"English Opening: King's English Variation, Reversed Sicilian"
178,maia5,sanjeevi1990,2,1568,1525,French Defense
179,AwedByChrist,mequias,1,1554,1512,Scandinavian Defense
180,Craftytype118,didgori_1121,2,1597,1527,Queen's Pawn Game
181,BarryBigPotataz,bancaelectronica,1,1614,1552,Englund Gambit: Soller Gambit
182,sasasale,joeSobhy75,1,1777,1736,Indian Defense: Tartakower Attack
183,Thekingkasi17296174,Neso_sama,1,1129,1012,French Defense: Rubinstein Variation
184,Unstoppable_Rob,LEADER09,0,2349,2303,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Old Line"
185,Ezequiel58,yosrilic1900,1,1606,1651,Englund Gambit Declined: Reversed French
186,Truman68,pva13,1,1387,1374,Scotch Game
187,Juarez_0105,NKJ_098,2,1249,1310,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
188,Marci1337,Bole_Debeljko,1,1572,1655,Philidor Defense: Exchange Variation
189,iceteakavun,OskrSerrano27,2,1387,1443,Hungarian Opening
190,sistemeduar,Sudhamay_Titanium,1,1155,1265,Alekhine Defense
191,dario2524,Dnolanthe1st,2,1472,1449,Four Knights Game: Gunsberg Variation
192,Jazpy,nps27,2,1568,1477,Sicilian Defense: Modern Variations
193,duchessAI,GarboBot,1,2621,1896,"Sicilian Defense: Alapin Variation, Smith-Morra Declined"
194,Phalanx-XXV,InanisBot,1,2264,2341,Sicilian Defense: Taimanov Variation
195,chava4dh,cccrnd,1,1033,1082,Caro-Kann Defense
196,geckokeko,shadalbe,1,2061,1915,Scandinavian Defense: Mieses-Kotroc Variation
197,Kraaikii,HP_har12341,1,2089,1810,"Ruy Lopez: Morphy Defense, Caro Variation"
198,antoniolisboa_1,chiticg,2,1792,1885,King's Gambit Accepted: Fischer Defense
199,tadeuszsuchorski,Henryerasure,2,1442,1355,Horwitz Defense
200,claudiri,Sopizzas,1,1427,1315,French Defense: King's Indian Attack
201,sirpaul83,watertype,2,1540,1528,Four Knights Game: Scotch Variation Accepted
202,AwedByChrist,shatranj185,2,1559,1541,Sicilian Defense: Bowdler Attack
203,ranam98,waldhorn241,2,1336,1374,King's Knight Opening
204,ParteetSingh,maia9,2,910,1649,Caro-Kann Defense
205,abdulrahman6_45,Ueverson,1,1071,1062,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit"
206,Ismaelmunar,R00KT00K2,2,1298,1370,Queen's Gambit Declined: Marshall Defense
207,AnhadPDX,maia9,2,852,1649,Three Knights Opening
208,IsrAleX66,sebastiansilvao,1,1566,1655,King's Indian Attack
209,kluks,MRZ05,1,1923,1906,Mieses Opening
210,ajedrezdhaniel,TRP0311,1,1543,1537,French Defense: Normal Variation
211,jayden_ku,samir2410,2,1500,1498,Ware Opening
212,flatheman3,FunnyAnimatorJimTV,1,2110,2107,Indian Defense: London System
213,aussie-in-indy,Botaman974,1,1620,1665,"English Opening: Symmetrical Variation, Normal Variation"
214,LaythFayez,koshamasha,2,1885,1871,"Italian Game: Two Knights Defense, Lolli Attack"
215,d-five,Doubledblunders,1,2126,1860,"English Opening: Agincourt Defense, Catalan Defense Accepted"
216,ffggvb0909876,tbritt,2,1262,1358,French Defense: Bird Invitation
217,anhchangngoc,Samvitreddy,2,1739,1720,Van't Kruijs Opening
218,sya121,TikhomirovEgor,2,2123,1950,Indian Defense
219,Vazzy0912,Leha79,1,1693,1655,"Italian Game: Giuoco Pianissimo, Normal"
220,ezezezzzzzzzz52,melj1010,2,1714,1791,Caro-Kann Defense
221,island333,stratejistt,2,1711,1689,Scotch Game: Schmidt Variation
222,IsaEihwaz,iceteakavun,2,1257,1315,Van Geet Opening
223,Davidfakile,CornFlux,2,1393,1370,Van't Kruijs Opening
224,drew101,PSDCAEV,2,1853,1912,Sicilian Defense
225,LordSalva,drfishbinder,2,1466,1724,Italian Game: Blackburne-Kostić Gambit
226,ffggvb0909876,Niko141710,2,1172,1246,Four Knights Game
227,Dancerchess77,viddavidda,1,1644,1705,Center Game: Normal Variation
228,garnicus07,Terry_P,2,828,890,Queen's Pawn Game
229,N1GHTM8R3,ChristopherS33,2,1706,1771,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation"
230,Tom852,Ilintxa3259,1,1573,1648,Sicilian Defense: Modern Variations
231,elf44,Medo4866,1,1653,1602,Ruy Lopez
232,Telepati_id,akshaya001,1,1293,1415,Borg Defense: Borg Gambit
233,Lynx_BOT,TopasBot,1,2473,2003,"Queen's Gambit Declined: Harrwitz Attack, Main Line"
234,K1NGCOLTON,samcammillare,2,1291,1284,Four Knights Game: Italian Variation
235,Aldegheme,elotrogandre,1,1756,1899,Trompowsky Attack
236,Legioner_chess_99,Benjamin_3943,1,1834,1847,Englund Gambit: Felbecker Gambit
237,ReuvenPerry,Serchimateos,1,1343,1291,Sicilian Defense: Moscow Variation
238,imperical7,mariobelanger,2,1810,1968,Indian Defense: Budapest Defense
239,silaxx_2,Dadivan97,1,1436,1500,"Nimzowitsch Defense: Kennedy Variation, Paulsen Attack"
240,maia5,sanjeevi1990,0,1562,1534,French Defense: Queen's Knight
241,geokontog,EvGeniy-1950,1,1774,1808,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation"
242,MAROMAX,Alexandr1955,2,1424,1478,"English Opening: King's English Variation, Reversed Sicilian"
243,laur92,PKG1404,2,1549,1507,Queen's Pawn Game: Modern Defense
244,leaderdesslok79,monky_kong,1,1611,1601,King's Pawn Game: Wayward Queen Attack
245,THEROCK8926,StevenGinsburg2022,1,1318,1214,"English Opening: King's English Variation, Reversed Sicilian"
246,Dnolanthe1st,ChessChampion2882,2,1499,1500,"Italian Game: Scotch Gambit, Max Lange Attack, Spielmann Defense"
247,Ahlebueggel,Jjeijdjeiwkkdkwmsmwm,1,1503,1499,Italian Game: Anti-Fried Liver Defense
248,Dens368,Sarii0-0,2,1560,1586,Horwitz Defense
249,Boro-i-Ramiz,Scorpion_vsol,1,1965,2014,Queen's Pawn Game
250,michaela_kysucka103,captainhub,1,1758,1577,French Defense: Normal Variation
251,Jurdano,SHOTGUNLOVER,1,1667,1519,Philidor Defense
252,melsh_bot,duchessAI,2,1645,2621,Sicilian Defense: Closed
253,Molleda,Litvinov333,1,1350,1475,Italian Game: Paris Defense
254,LaurelTTV,Andreas_9,2,2042,2097,English Opening: Neo-Catalan
255,CatSuey10,Pidkov,1,1342,1359,"Queen's Pawn Game: Veresov, Richter Attack"
256,UlsterJohn,LeBenK,1,1334,1310,Queen's Pawn Game: London System
257,Bole_Debeljko,dalejo3,1,1551,1628,Pirc Defense
258,shickson,annaxia,1,1640,1628,Queen's Pawn Game: Chigorin Variation
259,ThiagoAkier,Dark-Bisnounours-73,2,1744,1613,"French Defense: Advance Variation, Paulsen Attack"
260,jundumo,QamarM,1,1704,1605,Caro-Kann Defense
261,Lev-404,paulpreciado,1,1575,1565,Gunderam Defense
262,NatashasGambit,Dani4890,1,1342,1500,Queen's Pawn Game: Accelerated London System
263,Beechworth,Chessy_Jay,2,1399,1395,King's Pawn Game: Napoleon Attack
264,guoguo123,pietrek_c,2,1364,1317,"Italian Game: Classical Variation, Greco Gambit, Traditional Line"
265,Mattias1979,ausen_ramos,2,1856,1874,Owen Defense
266,RaulBuna,Olegan747,1,1624,1609,Sicilian Defense
267,BordsKael,puzzlingpawn,2,1754,1875,Pirc Defense
268,IgorPET,salagachess,1,1643,1558,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack"
269,Kozak548,Miamidawg,1,813,913,Three Knights Opening
270,HighAchiever69,Rawdonnois,1,1817,2058,English Opening: Agincourt Defense
271,patoflamenguista,Serdikk,1,1500,1515,Center Game: Normal Variation
272,totallyleslie2013,dbish,1,1626,1562,Scandinavian Defense: Modern Variation
273,Horatio1,ShrishK,2,1477,1480,Ponziani Opening
274,martido,Fialhovsky,1,1676,1734,Indian Defense
275,staritsyn_sergey,Henryslizek,1,1739,1743,King's Pawn Game: Wayward Queen Attack
276,MohamedNofal147,SaintAnselms_Zijun,1,1252,1334,"Nimzowitsch Defense: Kennedy Variation, de Smet Gambit"
277,desmond84,elf44,1,1618,1657,Italian Game: Anti-Fried Liver Defense
278,ParteetSingh,maia1,2,910,1502,Scandinavian Defense: Modern Variation
279,konsumatoro,NagarAndrey,2,1504,1590,Queen's Pawn Game: Zukertort Variation
280,nzdg1983,GNveNG,2,1392,1673,East Indian Defense
281,AmirGamal,QXK_2DAY,1,1637,1628,Scotch Game
282,ayao58,Llauset,1,1533,1559,"Queen's Pawn Game: Chigorin Variation, Shaviliuk Gambit"
283,mrblackpawn,ChessplayerArtem,1,1718,1683,Bishop's Opening
284,ryan158,coriro01,2,1406,1475,Center Game
285,Alpha_2024-Explorer,Manuel_Lizarazu92,2,1500,1543,King's Pawn Game
286,GeorgeW2016,MohamedNofal147,1,1303,1258,Philidor Defense: Exchange Variation
287,simbelmyne-bot,ChessChildren,1,2516,1734,Sicilian Defense: Modern Variations
288,mariobelanger,rogelioalfredo,1,1971,1862,Queen's Pawn Game: Modern Defense
289,Manuel_Lizarazu92,SafeGuord,2,1546,1461,Caro-Kann Defense: Hillbilly Attack
290,Wilkeyyy,Lennox1965,2,1934,2323,King's Indian Defense: Kramer Variation
291,SeanIrons,Hidrogenico2,2,1122,1435,Center Game Accepted
292,Serchimateos,IlakkiyaAram,2,1235,1126,Philidor Defense
293,honzovy-sachy-2,Lynx_BOT,2,2018,2473,"Ruy Lopez: Closed, Delayed Exchange"
294,Evenir,Farmaceuta,1,1853,1858,Horwitz Defense
295,RichieTorres,baaba1969,1,2127,1975,Queen's Pawn Game
296,dario2524,kikisax,0,1466,1500,King's Knight Opening: Normal Variation
297,alexsei25,AteMinerva9,1,1168,1149,King's Pawn Game: Wayward Queen Attack
298,ydoruk,ReuvenPerry,2,1331,1348,English Opening: King's English Variation
299,maninactionsree,Diego-vargas07,2,1418,1431,Hungarian Opening
300,Shadowgun,Sasiska1,1,1529,1634,Italian Game: Paris Defense
301,BigEddy,kaiser1980,1,1562,1489,French Defense: Knight Variation
302,SonnySixkiller,Borisptomontt,2,1792,1783,Dutch Defense: Rubinstein Variation
303,Aryaejaya,CentralWY,1,1291,1298,Pirc Defense
304,DavidChessJ,Benja333,1,1654,1628,Ruy Lopez: Classical Variation
305,felix_mtl,V_Plamnya,1,1940,2026,English Opening: Anglo-Dutch Defense
306,gusdaf,Mirono,2,1491,1469,Philidor Defense
307,onuriyigunler,DamienMarley,2,1175,1500,King's Pawn Game: Damiano Defense
308,Spain85,agus_ependi,2,1848,1832,Queen's Pawn Game: Modern Defense
309,Milo2Rad,rmamedun,1,1703,1684,Indian Defense
310,dnl317,coriro01,2,1514,1480,Ruy Lopez
311,R00KT00K2,Fireyforce10,0,1374,1374,Horwitz Defense
312,Focomilho,JosephK1975,2,1500,1331,"Ruy Lopez: Morphy Defense, Steinitz Deferred"
313,Ferkom,Niko141710,2,1267,1264,Queen's Pawn Game
314,cesarmelnichukSv,Erwan31,2,1671,1642,Alekhine Defense: Balogh Variation
315,cheetah6996,juliocesarbsi,2,1525,1542,Valencia Opening
316,AzatAbdykali,M-o-n-k,1,1149,1132,Petrov's Defense: Three Knights Game
317,plays_black,Marci1337,1,1611,1578,"Four Knights Game: Spanish Variation, Rubinstein Variation"
318,ParteetSingh,maia1,2,910,1502,King's Pawn Game: Wayward Queen Attack
319,Czar757,mjjwcr,2,1500,1500,French Defense: Knight Variation
320,ryan158,BrilliantBlunder,2,1379,1471,Owen Defense
321,Mina_Lgnd,MyBanjo,2,1920,1918,English Defense
322,t_aer,Ziki6,1,1298,1174,Queen's Pawn Game
323,stepacross,Gutand,1,1864,1859,Sicilian Defense: Grand Prix Attack
324,Dens368,pawn9i,2,1559,1577,Queen's Pawn Game: Chigorin Variation
325,Doit2def,arkhalimo,2,1262,1316,French Defense: Knight Variation
326,alexsei25,Sudhamay_Titanium,1,1190,1222,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation"
327,Abornjustice50,Tanushree11,1,1379,1500,Hungarian Opening
328,Dotking212,FrankBrown1,2,1520,1556,Grob Opening
329,LeBenK,Serchimateos,1,1304,1162,Queen's Pawn Game: London System
330,piedbushchat,UlsterJohn,1,1292,1340,Queen's Pawn Game
331,KaMiPa,maybe13,1,1596,1553,Scandinavian Defense: Main Line
332,joeSobhy75,Thnxforallthefish,2,1713,1610,Caro-Kann Defense
333,Efrosort,HomesteadPost,1,1463,1439,French Defense: Knight Variation
334,ryan158,Svilupa,1,1357,1384,Scotch Game
335,sasasale,Gutierritoz,1,1782,1742,Indian Defense: Tartakower Attack
336,sashulja222,Sidonio,1,1836,1798,Caro-Kann Defense
337,Dollabill,vertucs721,2,1649,1726,Sicilian Defense: Mengarini Variation
338,ChessplayerArtem,SlasherAddict,1,1677,1681,King's Gambit Declined: Queen's Knight Defense
339,eliasrazem,mrblackpawn,2,1741,1723,Italian Game: Giuoco Piano
340,UlsterJohn,K1NGCOLTON,1,1333,1285,Englund Gambit
341,Mattias1979,AS-777-Donetsk,1,1850,1827,Ruy Lopez
342,Mtl-Hammer-Headed,stacko,1,2070,1980,French Defense: Wing Gambit
343,Agamemnon2004,Elhossiny,1,1500,1510,Scandinavian Defense: Valencian Variation
344,THEROCK8926,irzik,1,1322,1236,English Opening: Anglo-Scandinavian Defense
345,chiticg,gavran55,1,1894,2043,Sicilian Defense: Modern Variations
346,alexsei25,Nathaniel12316,1,1215,1340,Italian Game: Anti-Fried Liver Defense
